,PC1,PC2,PC3,PC4,PC5
Force_X_wavelet_scale_1_ratio,0.1986335197971185,0.3030879260580785,0.14381218652498964,-0.00970164006878395,-0.12877305075840814
Force_X_wavelet_scale_16_ratio,0.21743196492852734,0.052812569780507634,-0.24760738406302604,0.08629009330052956,-0.24522534724407274
Force_X_wp_ada_entropy,0.2213347008901025,0.14566158540878826,-0.14324361558379015,-0.07108672143369132,0.29141081142956365
Force_X_wavelet_scale_8_ratio,0.16379643805815908,0.355475007144546,0.3218143314442166,-0.0605693002578884,-0.026743357428127442
Force_X_peak2peak,0.23021461161291357,0.007877661155138759,-0.13669638139256157,0.018188725191994524,0.05955665551670719
Vibration_Y_wavelet_scale_16_ratio,0.21969204949492438,-0.2087770220484983,0.06227011482953983,-0.019016380310618124,-0.030510630687315816
Force_X_wp_aad_entropy,0.22465647567296493,-0.01323105788762695,-0.11423473740578538,-0.20584932100844408,-0.21985364111495645
Force_X_impulse_factor,0.2236681396862749,0.021065600420555435,-0.17592798611018598,0.18033662292391303,0.004612301977558562
Force_X_min,-0.22336064083248852,-0.0012497890124053411,0.09647561812810161,0.20115682947991914,-0.1685448111878826
Force_X_wp_add_entropy,0.22073486238940643,0.13668682547164906,-0.0005493892943367505,-0.1118396853345981,0.4603011934127444
Vibration_X_wavelet_scale_16_ratio,0.2069365138814902,-0.2759582198449122,0.1226227199635584,-0.016812761217942125,-0.03449300995859288
Vibration_X_wavelet_scale_32_ratio,-0.18676373314465325,0.31564679228636056,-0.24667061599538753,-0.012326246038021321,-0.08157634234075394
Force_X_kurtosis,0.21017073869880443,0.03658921255727893,-0.24617698471071978,0.27705384693145513,-0.008585934263612987
Vibration_Y_wavelet_scale_32_ratio,-0.1906582143546479,0.3114234035417385,-0.2228589479305558,0.016857092919237905,-0.07225307905414981
Force_Z_wavelet_std,0.16833791818816907,0.13519747497772705,-0.012661632799866094,0.7649573317942291,0.20001330763165848
Force_X_wavelet_entropy,0.22027275171703112,0.13011214968337612,-0.17911287059049574,0.06499257072768243,-0.2145329496013541
Force_X_freq_std,-0.21454582531594155,-0.042650333209420375,0.2095690122784766,0.1473243196773177,0.13385186419967088
Force_Y_skewness,0.21493668393683021,-0.21155908001142282,0.07257962016559119,-0.0805794462694016,-0.1932031089796499
Force_Z_kurtosis,0.1678087945937389,0.17337826101906884,0.4080423520661641,0.11466681960794979,-0.36928722240467104
Vibration_X_skewness,-0.2151214532817892,0.15848508059584207,0.008290240945254356,-0.027925013349037582,0.24586308884778288
Force_X_wp_dad_std,0.22543652425313365,0.03630007149815501,-0.0045173818735399374,-0.21979806060334856,0.4007801886034161
Vibration_X_wavelet_entropy,0.1615305290605453,-0.36639034966416906,0.2503425748550991,0.15719143979440578,0.14354728123341373
Force_Z_wp_add_entropy,0.12397583783300328,0.3812164335957875,0.42586552372462505,-0.1053639824844971,0.05023200213497141
Force_X_freq_mean,0.2074672034332365,0.05347081454252556,-0.19963140448511885,-0.249136528343542,-0.09767045265396095
