n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mean_train_score,mean_test_score,std_test_score,rank_test_score
100,20,2,2,log2,0.9746665625674492,-0.3604734849105758,0.7211964474232451,1
100,20,2,2,sqrt,0.9746665625674492,-0.3604734849105758,0.7211964474232451,1
100,30,5,2,log2,0.9727529939400206,-0.36153449804953114,0.7320696976708461,3
100,None,5,2,log2,0.9727529939400206,-0.36153449804953114,0.7320696976708461,3
100,None,5,2,sqrt,0.9727529939400206,-0.36153449804953114,0.7320696976708461,3
100,30,5,2,sqrt,0.9727529939400206,-0.36153449804953114,0.7320696976708461,3
100,30,2,2,log2,0.9746895877660086,-0.3620600626006327,0.7211163772285715,7
100,None,2,2,log2,0.9746895877660086,-0.3620600626006327,0.7211163772285715,7
100,None,2,2,sqrt,0.9746895877660086,-0.3620600626006327,0.7211163772285715,7
100,30,2,2,sqrt,0.9746895877660086,-0.3620600626006327,0.7211163772285715,7
100,20,5,2,sqrt,0.9727811138586653,-0.3639605231107488,0.7357204901862127,11
100,20,5,2,log2,0.9727811138586653,-0.3639605231107488,0.7357204901862127,11
200,20,2,2,sqrt,0.9754493962328905,-0.36461816031981104,0.7202043809093831,13
200,20,2,2,log2,0.9754493962328905,-0.36461816031981104,0.7202043809093831,13
200,30,2,2,sqrt,0.9754515897826559,-0.3646216743205293,0.7199550655168352,15
200,None,2,2,sqrt,0.9754515897826559,-0.3646216743205293,0.7199550655168352,15
200,30,2,2,log2,0.9754515897826559,-0.3646216743205293,0.7199550655168352,15
200,None,2,2,log2,0.9754515897826559,-0.3646216743205293,0.7199550655168352,15
50,10,2,2,sqrt,0.9674083571967349,-0.3653818472880133,0.7137005593289091,19
50,10,2,2,log2,0.9674083571967349,-0.3653818472880133,0.7137005593289091,19
100,30,2,1,log2,0.9858863654260526,-0.37359417497551195,0.7758700848540303,21
100,30,2,1,sqrt,0.9858863654260526,-0.37359417497551195,0.7758700848540303,21
100,None,2,1,log2,0.9858863654260526,-0.37359417497551195,0.7758700848540303,21
100,None,2,1,sqrt,0.9858863654260526,-0.37359417497551195,0.7758700848540303,21
200,10,10,2,sqrt,0.9571174184740375,-0.3741421048881808,0.7878695227792228,25
200,10,10,2,log2,0.9571174184740375,-0.3741421048881808,0.7878695227792228,25
200,10,2,1,sqrt,0.980452793820937,-0.37861168193225836,0.7584944076915056,27
200,10,2,1,log2,0.980452793820937,-0.37861168193225836,0.7584944076915056,27
100,10,2,1,sqrt,0.9800080628123823,-0.38015463206054656,0.775171733007856,29
100,10,2,1,log2,0.9800080628123823,-0.38015463206054656,0.775171733007856,29
100,10,10,2,log2,0.9577251465806086,-0.3830863805997099,0.791063067967369,31
100,10,10,2,sqrt,0.9577251465806086,-0.3830863805997099,0.791063067967369,31
100,None,10,1,sqrt,0.9654460910273718,-0.38314033070842246,0.810323341620093,33
100,30,10,1,log2,0.9654460910273718,-0.38314033070842246,0.810323341620093,33
100,None,10,1,log2,0.9654460910273718,-0.38314033070842246,0.810323341620093,33
100,30,10,1,sqrt,0.9654460910273718,-0.38314033070842246,0.810323341620093,33
200,None,2,1,sqrt,0.985905193710497,-0.38398606894971044,0.7698580532854932,37
200,None,2,1,log2,0.985905193710497,-0.38398606894971044,0.7698580532854932,37
200,30,2,1,sqrt,0.985905193710497,-0.38398606894971044,0.7698580532854932,37
200,30,2,1,log2,0.985905193710497,-0.38398606894971044,0.7698580532854932,37
200,30,10,1,sqrt,0.9655853541270016,-0.3842961566123967,0.7862095730202106,41
200,30,10,1,log2,0.9655853541270016,-0.3842961566123967,0.7862095730202106,41
200,None,10,1,log2,0.9655853541270016,-0.3842961566123967,0.7862095730202106,41
200,None,10,1,sqrt,0.9655853541270016,-0.3842961566123967,0.7862095730202106,41
100,20,2,1,log2,0.9857306172257931,-0.3847965132625209,0.785639355361793,45
100,20,2,1,sqrt,0.9857306172257931,-0.3847965132625209,0.785639355361793,45
200,30,5,2,log2,0.9730688778604095,-0.3861551622771963,0.757874374126596,47
200,30,5,2,sqrt,0.9730688778604095,-0.3861551622771963,0.757874374126596,47
200,None,5,2,sqrt,0.9730688778604095,-0.3861551622771963,0.757874374126596,47
200,None,5,2,log2,0.9730688778604095,-0.3861551622771963,0.757874374126596,47
