hidden_layers,batch_size,learning_rate,dropout_rate,weight_decay,activation,val_loss,train_loss,n_epochs,test_mse,test_rmse,test_mae,test_r2
"[32, 16]",8,0.001,0.2,0.0,relu,0.06498155021108687,0.2211601175959148,83,155.97072710312816,12.48882408808484,8.821348285973945,0.7908187392632626
"[32, 16]",8,0.001,0.2,0.0,tanh,0.07835837523452938,0.22901571166539003,67,156.72638820396588,12.519041025732198,8.843068750682297,0.7898052789511976
"[32, 16]",8,0.001,0.2,1e-05,relu,0.06186116441676859,0.21326918042604887,84,83.38894758286719,9.131754901598443,6.365268089379118,0.8881623141029518
"[32, 16]",8,0.001,0.2,1e-05,tanh,0.07568455277942121,0.23239513761585667,66,139.64481390923643,11.817140682467837,8.373092606371529,0.8127143549855561
"[32, 16]",8,0.001,0.2,0.0001,relu,0.06504588098323438,0.2640803521351209,34,100.90533375268232,10.045164695149717,6.993683905349365,0.8646700869997803
"[32, 16]",8,0.001,0.2,0.0001,tanh,0.0715225700987503,0.1738784248157153,82,132.72395811383856,11.520588444773061,8.140821958798508,0.8219963104367303
"[32, 16]",8,0.001,0.3,0.0,relu,0.06761443198774941,0.23915153542267426,24,114.37746667641665,10.694740140668058,7.339906784726574,0.8466018391808399
"[32, 16]",8,0.001,0.3,0.0,tanh,0.08325842820340768,0.21177654261035578,109,148.7462058758667,12.19615537273393,8.758948728969205,0.8005079577891123
"[32, 16]",8,0.001,0.3,1e-05,relu,0.07619844126747921,0.28432901038063896,100,141.64215144502742,11.90135082438239,7.942224960179434,0.8100356114058246
"[32, 16]",8,0.001,0.3,1e-05,tanh,0.08426584175322205,0.196973195181243,63,157.28366625713033,12.54127849372345,9.034459740866096,0.7890578814881801
"[32, 16]",8,0.001,0.3,0.0001,relu,0.06689992541214451,0.2879050345647903,83,109.29691241403417,10.454516364425194,6.7404713249947585,0.8534156610151374
"[32, 16]",8,0.001,0.3,0.0001,tanh,0.08880776108708233,0.22452907494845845,75,167.09614365457568,12.926567357754946,9.381372558433856,0.7758978069596363
"[32, 16]",8,0.001,0.4,0.0,relu,0.08187970449216664,0.26374453856121927,21,123.54307496925111,11.114993250976408,7.485368803477866,0.8343093177973464
"[32, 16]",8,0.001,0.4,0.0,tanh,0.09708401374518871,0.2662640439257735,70,159.4812933786527,12.628590316367568,9.055568687098441,0.7861105180921928
"[32, 16]",8,0.001,0.4,1e-05,relu,0.06737390419584699,0.3089647094408671,64,117.69583974932422,10.848771347453324,7.5623131482913575,0.8421513793036689
"[32, 16]",8,0.001,0.4,1e-05,tanh,0.09619503532303497,0.23925830234610845,48,145.86508425560916,12.077461830020791,8.570627659015692,0.8043719947405004
"[32, 16]",8,0.001,0.4,0.0001,relu,0.09052708049421199,0.341045594138522,27,125.73068520200607,11.212969508654078,7.953043964599827,0.8313753886236643
"[32, 16]",8,0.001,0.4,0.0001,tanh,0.09771296457620338,0.25888937019876074,88,126.92747208297776,11.26620930406398,7.931034259078327,0.8297703093036884
"[32, 16]",8,0.0005,0.2,0.0,relu,0.06582479341886938,0.24968363764503645,37,119.52165293040676,10.932595891663002,8.156651992783848,0.8397026768440332
"[32, 16]",8,0.0005,0.2,0.0,tanh,0.07405003625899553,0.19145575526451308,61,147.9241728116599,12.16240818307213,9.097582977062121,0.8016104333364908
"[32, 16]",8,0.0005,0.2,1e-05,relu,0.0755311893299222,0.23281227779530345,97,116.40934695161877,10.789316333837784,7.094145781684309,0.843876768358083
"[32, 16]",8,0.0005,0.2,1e-05,tanh,0.07583905762294307,0.21412319944254934,33,207.83083277831938,14.416339090709519,11.203007170272564,0.7212661861107463
"[32, 16]",8,0.0005,0.2,0.0001,relu,0.06522296348703094,0.22426998446739854,88,105.97667837778934,10.294497480585894,7.582647189313823,0.8578686167366524
"[32, 16]",8,0.0005,0.2,0.0001,tanh,0.07360989233711734,0.21815268985099262,100,161.36498243485116,12.702951721346151,9.544384450651362,0.7835841949870177
"[32, 16]",8,0.0005,0.3,0.0,relu,0.06688167247921228,0.28774734278993,46,161.01117306921137,12.689017813416898,8.839691137604145,0.784058708958579
"[32, 16]",8,0.0005,0.3,0.0,tanh,0.09548126923618838,0.26569089470874696,52,215.6372700929,14.684592949513446,10.91081545827786,0.710796526645438
"[32, 16]",8,0.0005,0.3,1e-05,relu,0.07227081479504704,0.24777033564353745,43,141.166795618378,11.881363373720122,7.941780443690143,0.8106731382864382
"[32, 16]",8,0.0005,0.3,1e-05,tanh,0.08778042456833646,0.22297601443197992,73,152.05211955301758,12.330941551763903,8.930570496062142,0.7960742079200359
"[32, 16]",8,0.0005,0.3,0.0001,relu,0.07856248458847404,0.24212325491484196,47,106.86916876893889,10.337754532244364,6.281599096664279,0.8566716468392649
"[32, 16]",8,0.0005,0.3,0.0001,tanh,0.09098421630915254,0.20550821100672087,82,164.23011597047162,12.815229844621268,9.278356088243997,0.779741600570157
"[32, 16]",8,0.0005,0.4,0.0,relu,0.0800014644046314,0.323116927984215,71,127.700417847053,11.30046095728192,7.688159721349224,0.828733667541395
"[32, 16]",8,0.0005,0.4,0.0,tanh,0.10625870956573635,0.2591159138532858,74,152.20891093661484,12.337297554027577,8.285249959535188,0.7958639260299486
"[32, 16]",8,0.0005,0.4,1e-05,relu,0.08516153576783836,0.36607467749762157,35,141.99711839146818,11.916254377591482,8.21126096472746,0.8095595449364592
"[32, 16]",8,0.0005,0.4,1e-05,tanh,0.10400975740049034,0.23686191942247134,75,158.40906973799645,12.586066491878885,8.602560867186826,0.787548538527886
"[32, 16]",8,0.0005,0.4,0.0001,relu,0.0717830034554936,0.28450035569923265,33,145.2490615483152,12.05193185959476,8.263773227841211,0.8051981780182702
"[32, 16]",8,0.0005,0.4,0.0001,tanh,0.11204294359777123,0.309304866525862,64,197.45534082377887,14.051880330538646,10.25823985444656,0.7351813516557504
"[32, 16]",8,0.0001,0.2,0.0,relu,0.07976052671438083,0.2808089359175591,64,173.8158598909608,13.183924297831842,9.184290453966833,0.7668856112724882
"[32, 16]",8,0.0001,0.2,0.0,tanh,0.09475232695695013,0.26226216829603627,105,145.6517892372336,12.068628308023808,8.24541613983857,0.8046580568861437
"[32, 16]",8,0.0001,0.2,1e-05,relu,0.0740796025202144,0.23327540343124714,65,119.54284347148773,10.933564993701173,7.331271242972919,0.8396742569976855
"[32, 16]",8,0.0001,0.2,1e-05,tanh,0.0882719965884462,0.2377606062070718,124,178.40619155663447,13.35687806175659,10.20494520853469,0.7607292549942328
"[32, 16]",8,0.0001,0.2,0.0001,relu,0.08761989296181127,0.306980145178617,60,127.07321868021386,11.27267575512637,7.366657954781589,0.829574840208146
"[32, 16]",8,0.0001,0.2,0.0001,tanh,0.09235813864506781,0.2355363793405039,105,160.61367428448452,12.673345031383171,8.961683860592318,0.7845918173082984
