combo_id,r2,rmse,mae,hidden_layers,learning_rate,batch_size,dropout_rate,activation,optimizer,epochs_trained
0,0.8408563381224239,10.893183855873128,8.734736066809404,"[64, 32]",0.001,16,0.1,relu,adam,34
1,0.6830150965575905,15.3737370929789,13.70226935108055,"[64, 32]",0.001,16,0.1,relu,rmsprop,36
2,0.8433193279394778,10.808560881511568,7.2444842617899115,"[64, 32]",0.001,16,0.1,tanh,adam,77
3,0.7376305983035102,13.986748081042906,11.637760417432474,"[64, 32]",0.001,16,0.1,tanh,rmsprop,35
4,0.7106590942379007,14.688081668435638,10.816413116771935,"[64, 32]",0.001,16,0.2,relu,adam,65
5,0.7940789811453326,12.391118191505385,10.418938825443053,"[64, 32]",0.001,16,0.2,relu,rmsprop,40
6,0.8104218066459558,11.889247020405307,9.939531083641919,"[64, 32]",0.001,16,0.2,tanh,adam,77
7,0.8333597208214314,11.146798553193177,8.763831510163774,"[64, 32]",0.001,16,0.2,tanh,rmsprop,87
8,0.8300459405337616,11.257084640949863,8.536361481542764,"[64, 32]",0.001,16,0.3,relu,adam,37
9,0.845124446176371,10.746117786399589,8.758703945419947,"[64, 32]",0.001,16,0.3,relu,rmsprop,50
10,0.84272029107904,10.82920334299703,9.898182284377999,"[64, 32]",0.001,16,0.3,tanh,adam,53
11,0.860148281721089,10.211606324344721,8.230710153557073,"[64, 32]",0.001,16,0.3,tanh,rmsprop,37
12,0.9055931496731634,8.38999910687784,5.9778340842934155,"[64, 32]",0.001,32,0.1,relu,adam,39
13,0.6208564334060989,16.8136501221443,13.760262324807604,"[64, 32]",0.001,32,0.1,relu,rmsprop,41
14,0.7269007267791701,14.269883662837493,12.738595335817811,"[64, 32]",0.001,32,0.1,tanh,adam,67
15,0.7501895572167235,13.6478881579116,9.468363180909968,"[64, 32]",0.001,32,0.1,tanh,rmsprop,32
16,0.689742028304626,15.209734558565389,11.999655224063604,"[64, 32]",0.001,32,0.2,relu,adam,40
17,0.7002060321103014,14.951046954219896,11.491360313292152,"[64, 32]",0.001,32,0.2,relu,rmsprop,49
18,0.5801949047419683,17.692288516089754,15.806406354594595,"[64, 32]",0.001,32,0.2,tanh,adam,39
19,0.705110372165779,14.82825032348258,13.435349355373523,"[64, 32]",0.001,32,0.2,tanh,rmsprop,32
20,0.8382270591486435,10.982800645498376,7.9624323988107895,"[64, 32]",0.001,32,0.3,relu,adam,44
21,0.833017541211721,11.158237117683964,8.154974680287227,"[64, 32]",0.001,32,0.3,relu,rmsprop,131
22,0.9162606093239188,7.901782266251458,6.125211814421932,"[64, 32]",0.001,32,0.3,tanh,adam,57
23,0.7846835978656765,12.67064483080943,10.710173319921335,"[64, 32]",0.001,32,0.3,tanh,rmsprop,36
24,0.5960548299504167,17.354870210602197,13.218062309419777,"[64, 32]",0.001,64,0.1,relu,adam,34
25,0.8145641822269648,11.758636694717433,9.607587888495159,"[64, 32]",0.001,64,0.1,relu,rmsprop,55
26,0.7137441621387275,14.609566731730697,13.590547936584224,"[64, 32]",0.001,64,0.1,tanh,adam,61
27,0.8797239923944596,9.469993092514814,7.787109352857976,"[64, 32]",0.001,64,0.1,tanh,rmsprop,103
28,0.7991195273851889,12.238523357049285,8.570724811311264,"[64, 32]",0.001,64,0.2,relu,adam,43
29,0.5022872140060053,19.264137044206848,17.163158532153552,"[64, 32]",0.001,64,0.2,relu,rmsprop,34
30,0.6532280282488114,16.079855964220958,14.769331934738185,"[64, 32]",0.001,64,0.2,tanh,adam,37
31,0.8835415470247265,9.318492685059088,7.351664607427884,"[64, 32]",0.001,64,0.2,tanh,rmsprop,33
32,0.7978064755941978,12.278456657337728,9.281523481319233,"[64, 32]",0.001,64,0.3,relu,adam,68
33,0.8332545151296098,11.150316675057658,7.5271574479131695,"[64, 32]",0.001,64,0.3,relu,rmsprop,41
34,0.513835616080203,19.039333012102446,17.66456096080341,"[64, 32]",0.001,64,0.3,tanh,adam,31
35,0.8535393548515962,10.450104460102173,7.859338220646285,"[64, 32]",0.001,64,0.3,tanh,rmsprop,47
36,0.5863819176924677,17.56143168699628,14.711050069770781,"[64, 32]",0.0005,16,0.1,relu,adam,41
37,0.8181036484273948,11.645875805881957,9.193667261814369,"[64, 32]",0.0005,16,0.1,relu,rmsprop,39
38,0.7612540660946018,13.342221681805999,10.565817809442155,"[64, 32]",0.0005,16,0.1,tanh,adam,51
39,0.8157333742342049,11.721508367520354,9.72376401659054,"[64, 32]",0.0005,16,0.1,tanh,rmsprop,43
40,0.7942133317162458,12.387075317596583,9.507440006925673,"[64, 32]",0.0005,16,0.2,relu,adam,136
41,0.8281243506506458,11.320545022515978,9.837379642566296,"[64, 32]",0.0005,16,0.2,relu,rmsprop,39
42,0.7861070724375401,12.628692036156094,10.688108010970904,"[64, 32]",0.0005,16,0.2,tanh,adam,47
43,0.5169080397593473,18.979076014936417,17.1071186697337,"[64, 32]",0.0005,16,0.2,tanh,rmsprop,32
44,0.7878987112983729,12.575689732592362,10.059397790117272,"[64, 32]",0.0005,16,0.3,relu,adam,45
45,0.5887588086395108,17.510899867160383,15.921056687961896,"[64, 32]",0.0005,16,0.3,relu,rmsprop,60
46,0.8703479500824843,9.83218075813177,7.467383088336886,"[64, 32]",0.0005,16,0.3,tanh,adam,69
47,0.8620513315757758,10.141890486212244,7.878134278273654,"[64, 32]",0.0005,16,0.3,tanh,rmsprop,115
