Feature,Importance
Vibration_X_wavelet_scale_16_ratio,0.13497024193856005
Vibration_Y_wavelet_scale_16_ratio,0.11958229604344918
Vibration_X_wavelet_entropy,0.1121927014676659
Force_X_wavelet_scale_16_ratio,0.09359650046767802
Vibration_X_wavelet_scale_32_ratio,0.07903740988990696
Vibration_Y_wavelet_scale_32_ratio,0.07547542296606485
Force_Y_skewness,0.07395556606997586
Force_X_impulse_factor,0.05445173732078978
Force_X_peak2peak,0.04706505832018643
Vibration_X_skewness,0.02964909071371643
Force_X_wp_ada_entropy,0.025675702724793466
Force_X_wp_aad_entropy,0.02437078909455576
Force_X_wavelet_entropy,0.02102101121416287
Force_X_kurtosis,0.020667131023588272
Force_X_freq_std,0.014709737207590374
Force_X_min,0.014038411622596489
Force_Z_wavelet_std,0.012218827763287265
Force_X_wavelet_scale_8_ratio,0.012020790648414445
Force_Z_kurtosis,0.007763607135244773
Force_X_wp_dad_std,0.006779345428888528
Force_X_wavelet_scale_1_ratio,0.00651319032772359
Force_X_freq_mean,0.005738951841256135
Force_Z_wp_add_entropy,0.004319223164731384
Force_X_wp_add_entropy,0.004187255605173159
