n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mean_train_score,mean_test_score,std_test_score,rank_test_score
100,30,10,1,log2,0.9641465928452521,0.14014080227003584,0.4370529367544639,1
100,20,10,1,log2,0.9641465928452521,0.14014080227003584,0.4370529367544639,1
100,None,10,1,log2,0.9641465928452521,0.14014080227003584,0.4370529367544639,1
100,20,10,1,sqrt,0.9641465928452521,0.14014080227003584,0.4370529367544639,1
100,None,10,1,sqrt,0.9641465928452521,0.14014080227003584,0.4370529367544639,1
100,30,10,1,sqrt,0.9641465928452521,0.14014080227003584,0.4370529367544639,1
200,30,10,1,log2,0.9639797944824565,0.13766250600570715,0.43413259235739826,7
200,20,10,1,sqrt,0.9639797944824565,0.13766250600570715,0.43413259235739826,7
200,30,10,1,sqrt,0.9639797944824565,0.13766250600570715,0.43413259235739826,7
200,None,10,1,log2,0.9639797944824565,0.13766250600570715,0.43413259235739826,7
200,None,10,1,sqrt,0.9639797944824565,0.13766250600570715,0.43413259235739826,7
200,20,10,1,log2,0.9639797944824565,0.13766250600570715,0.43413259235739826,7
200,10,5,1,log2,0.97638263466607,0.13697309499191695,0.43409555654228943,13
200,10,5,1,sqrt,0.97638263466607,0.13697309499191695,0.43409555654228943,13
50,20,10,1,sqrt,0.9622630624583846,0.1301200248122049,0.4237161501405572,15
50,None,10,1,log2,0.9622630624583846,0.1301200248122049,0.4237161501405572,15
50,30,10,1,log2,0.9622630624583846,0.1301200248122049,0.4237161501405572,15
50,30,10,1,sqrt,0.9622630624583846,0.1301200248122049,0.4237161501405572,15
50,20,10,1,log2,0.9622630624583846,0.1301200248122049,0.4237161501405572,15
50,None,10,1,sqrt,0.9622630624583846,0.1301200248122049,0.4237161501405572,15
200,20,5,1,log2,0.9787358935122095,0.1288917261242099,0.44298099955073045,21
200,20,5,1,sqrt,0.9787358935122095,0.1288917261242099,0.44298099955073045,21
200,10,10,1,sqrt,0.9627267237183478,0.12846537349029546,0.45186392967795536,23
200,10,10,1,log2,0.9627267237183478,0.12846537349029546,0.45186392967795536,23
200,30,2,1,log2,0.9871211140138122,0.127665757681543,0.4537925215130718,25
200,None,2,1,sqrt,0.9871211140138122,0.127665757681543,0.4537925215130718,25
200,None,2,1,log2,0.9871211140138122,0.127665757681543,0.4537925215130718,25
200,30,2,1,sqrt,0.9871211140138122,0.127665757681543,0.4537925215130718,25
200,None,5,1,log2,0.9787335511457451,0.12743497959800162,0.44440847391992616,29
200,30,5,1,log2,0.9787335511457451,0.12743497959800162,0.44440847391992616,29
200,None,5,1,sqrt,0.9787335511457451,0.12743497959800162,0.44440847391992616,29
200,30,5,1,sqrt,0.9787335511457451,0.12743497959800162,0.44440847391992616,29
200,None,2,2,sqrt,0.9733082503248489,0.1262877610299827,0.4420383473151187,33
200,30,2,2,sqrt,0.9733082503248489,0.1262877610299827,0.4420383473151187,33
200,None,2,2,log2,0.9733082503248489,0.1262877610299827,0.4420383473151187,33
200,20,2,2,sqrt,0.9733082503248489,0.1262877610299827,0.4420383473151187,33
200,30,2,2,log2,0.9733082503248489,0.1262877610299827,0.4420383473151187,33
200,20,2,2,log2,0.9733082503248489,0.1262877610299827,0.4420383473151187,33
200,None,5,2,sqrt,0.9708055577477784,0.1261072657293445,0.42887606550119073,39
200,30,5,2,log2,0.9708055577477784,0.1261072657293445,0.42887606550119073,39
200,30,5,2,sqrt,0.9708055577477784,0.1261072657293445,0.42887606550119073,39
200,None,5,2,log2,0.9708055577477784,0.1261072657293445,0.42887606550119073,39
200,20,5,2,sqrt,0.9708048094229078,0.12436404060067838,0.431053924027965,43
200,20,5,2,log2,0.9708048094229078,0.12436404060067838,0.431053924027965,43
200,20,2,1,sqrt,0.9871054822146659,0.12124740741246887,0.4555910475459769,45
200,20,2,1,log2,0.9871054822146659,0.12124740741246887,0.4555910475459769,45
100,10,10,1,log2,0.9625072044848333,0.1211128779286881,0.4670602607277527,47
100,10,10,1,sqrt,0.9625072044848333,0.1211128779286881,0.4670602607277527,47
200,10,2,1,sqrt,0.9833300735354495,0.11083918099991455,0.46234428836549074,49
200,10,2,1,log2,0.9833300735354495,0.11083918099991455,0.46234428836549074,49
100,None,2,1,sqrt,0.9869254608012673,0.1083238207318968,0.4762226170679068,51
100,30,2,1,sqrt,0.9869254608012673,0.1083238207318968,0.4762226170679068,51
100,None,2,1,log2,0.9869254608012673,0.1083238207318968,0.4762226170679068,51
100,30,2,1,log2,0.9869254608012673,0.1083238207318968,0.4762226170679068,51
200,30,10,2,log2,0.9572671898806135,0.10281455167573281,0.46725636417728245,55
200,None,10,2,sqrt,0.9572671898806135,0.10281455167573281,0.46725636417728245,55
200,None,10,2,log2,0.9572671898806135,0.10281455167573281,0.46725636417728245,55
200,20,10,2,log2,0.9572671898806135,0.10281455167573281,0.46725636417728245,55
200,20,10,2,sqrt,0.9572671898806135,0.10281455167573281,0.46725636417728245,55
200,30,10,2,sqrt,0.9572671898806135,0.10281455167573281,0.46725636417728245,55
200,10,2,2,sqrt,0.9710742447810583,0.10274130502658936,0.45732220456362876,61
200,10,2,2,log2,0.9710742447810583,0.10274130502658936,0.45732220456362876,61
100,20,5,2,log2,0.9704667508947494,0.10245648021275525,0.4421079779493711,63
100,20,5,2,sqrt,0.9704667508947494,0.10245648021275525,0.4421079779493711,63
100,30,5,2,log2,0.9704667508947494,0.10245648021275525,0.4421079779493711,63
100,None,5,2,sqrt,0.9704667508947494,0.10245648021275525,0.4421079779493711,63
100,30,5,2,sqrt,0.9704667508947494,0.10245648021275525,0.4421079779493711,63
